Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Kempegowda Ward,"2,23,033","2,20,550","1,58,743","91,311","89,805","54,974",98.90%,72.00%,57.50%,98.40%,"34,816",38.80%,24.60%,"₹99,49,162",9.86,₹168.46,"5,92,827",13.11419655,77.59543967
Neelasandra,"2,20,700","2,19,466","1,87,313","90,231","88,979","54,805",99.40%,85.30%,48.20%,98.60%,"34,144",38.40%,24.80%,"₹64,63,739",5.83,₹110.57,"3,52,007",12.9521793,77.6140918
Kumaraswamy Layout,"1,43,853","1,42,737","1,05,455","82,322","80,684","54,590",99.20%,73.90%,78.10%,98.00%,"26,080",32.30%,38.00%,"₹63,71,132",6.39,₹114.23,"3,58,192",12.9067683,77.5595021
Thanisandra,"1,55,904","1,55,006","1,13,130","84,772","82,935","54,435",99.40%,73.00%,74.90%,97.80%,"28,487",34.40%,34.90%,"₹87,98,989",8.64,₹150.70,"5,14,432",13.0572273,77.6276673
Attiguppe,"1,22,277","1,21,113","83,123","74,314","72,200","52,845",99.10%,68.60%,89.40%,97.20%,"19,332",26.80%,43.20%,"₹64,67,725",6.97,₹123.87,"3,69,824",12.9618581,77.5335932
Ramaswamy Palya,"1,58,326","1,57,576","1,31,163","78,156","76,894","52,575",99.50%,83.20%,59.60%,98.40%,"24,304",31.60%,33.20%,"₹62,18,113",6.07,₹112.24,"3,44,823",12.9949716,77.6611707
Sudham Nagara,"2,07,651","2,06,119","1,68,626","88,531","86,990","51,838",99.30%,81.80%,52.50%,98.30%,"35,118",40.40%,25.00%,"₹71,47,733",7.44,₹132.63,"4,06,732",,
Kanneshwara Rama,"1,37,753","1,36,778","1,02,151","76,606","75,289","50,824",99.30%,74.70%,75.00%,98.30%,"24,444",32.50%,36.90%,"₹66,66,800",7.24,₹126.82,"3,83,834",,
Gurappanapalya,"2,19,358","2,17,350","1,75,884","97,073","95,401","50,729",99.10%,80.90%,55.20%,98.30%,"44,650",46.80%,23.10%,"₹65,98,625",6.94,₹126.23,"3,66,661",12.92427845,77.59520571551772
Basavanapura,"2,21,845","2,20,103","1,69,213","83,635","82,367","50,465",99.20%,76.90%,49.40%,98.50%,"31,894",38.70%,22.80%,"₹88,71,533",9.62,₹168.17,"5,16,880",13.2252819,77.576019
